Date,open,high,low,close,volume
2025-12-18,31.74,31.78,31.72,31.76,380010
2025-12-19,31.74,31.94,31.74,31.88,802795
2025-12-22,31.9,31.9,31.72,31.82,201901
2025-12-23,31.82,31.84,31.76,31.76,149249
2025-12-24,31.76,31.76,31.74,31.74,52841
2025-12-29,31.72,31.86,31.7,31.86,247790
2025-12-30,31.8,31.9,31.78,31.9,180302
2025-12-31,31.78,31.88,31.78,31.86,155124
2026-01-02,31.8,31.92,31.8,31.88,568269
2026-01-05,31.92,31.92,31.8,31.86,615527
2026-01-06,31.84,31.88,31.84,31.86,315928
2026-01-07,31.88,31.92,31.86,31.88,447531
2026-01-08,31.9,31.9,31.84,31.86,230083
2026-01-09,31.88,31.88,31.84,31.84,309603
2026-01-12,31.84,31.86,31.82,31.84,418201
2026-01-13,31.84,31.9,31.84,31.9,596218
2026-01-14,31.92,31.92,31.86,31.88,301039
2026-01-15,31.9,31.96,31.9,31.92,690875
2026-01-16,31.94,31.94,31.9,31.9,401259
2026-01-19,31.6,31.64,31.6,31.6,338286
2026-01-20,31.62,31.64,31.6,31.6,336433
2026-01-21,31.6,31.64,31.6,31.62,254119
2026-01-22,31.62,31.68,31.62,31.64,254851
2026-01-23,31.62,31.66,31.62,31.64,218300
2026-01-26,31.66,31.66,31.62,31.64,337004
2026-01-27,31.64,31.66,31.62,31.64,328191
2026-01-28,31.64,31.64,31.62,31.64,236078
2026-01-29,31.62,31.66,31.62,31.62,325439
2026-01-30,31.64,31.64,31.62,31.62,215986
2026-02-02,31.62,31.68,31.62,31.68,505800
2026-02-03,31.7,31.7,31.64,31.68,328599
2026-02-04,31.7,31.9,31.64,31.9,374180
2026-02-05,31.76,31.76,31.66,31.66,262471
2026-02-06,31.68,31.74,31.64,31.68,548644
2026-02-09,31.7,31.72,31.66,31.66,186908
2026-02-10,31.68,31.7,31.66,31.66,209363
2026-02-11,31.68,31.72,31.68,31.68,353301
2026-02-12,31.7,31.72,31.68,31.68,329815
2026-02-13,31.72,31.72,31.64,31.64,302639
2026-02-16,31.64,31.66,31.64,31.66,93149
2026-02-17,31.66,31.7,31.64,31.66,379702
2026-02-18,31.68,31.68,31.66,31.68,188271
2026-02-19,31.68,31.72,31.66,31.7,316590
2026-02-20,31.7,31.72,31.68,31.72,261025
2026-02-23,31.72,31.72,31.7,31.72,176132
2026-02-24,31.7,31.72,31.7,31.7,499392
2026-02-25,31.72,31.72,31.7,31.72,183633
2026-02-26,31.72,31.74,31.68,31.7,369527
2026-02-27,31.72,31.74,31.7,31.7,460947
2026-03-02,31.68,31.76,31.68,31.76,403600
2026-03-03,31.76,31.76,31.72,31.76,567203
2026-03-04,31.74,31.76,31.7,31.7,860096
2026-03-05,31.7,31.76,31.7,31.7,708714
2026-03-06,31.72,31.76,31.7,31.72,354803
2026-03-09,31.7,31.74,31.7,31.72,427606
2026-03-10,31.72,31.74,31.7,31.74,340876
2026-03-11,31.72,31.74,31.7,31.72,566397
2026-03-12,31.72,31.76,31.72,31.74,597810
2026-03-13,31.74,31.76,31.74,31.76,307553
2026-03-16,31.78,31.84,31.76,31.84,292639
2026-03-17,31.82,31.82,31.76,31.82,333176
2026-03-18,31.82,31.82,31.78,31.78,384400
2026-03-19,31.78,31.8,31.76,31.76,555930
2026-03-20,31.78,31.8,31.76,31.76,980795
2026-03-23,31.76,31.82,31.76,31.76,957020
2026-03-24,31.78,31.78,31.76,31.76,383704
2026-03-25,31.76,31.78,31.7,31.74,408638
2026-03-26,31.68,31.72,31.64,31.64,264857
2026-03-27,31.66,31.74,31.58,31.74,163576
2026-03-30,31.8,31.84,31.8,31.82,260291
2026-03-31,31.8,31.84,31.8,31.84,593221
2026-04-01,32.08,32.14,31.82,31.82,2764723
2026-04-02,31.8,31.84,31.78,31.8,4766797
2026-04-07,31.82,31.84,31.8,31.82,499989
2026-04-08,31.82,31.9,31.8,31.82,171062
2026-04-09,31.8,31.86,31.8,31.8,360308
2026-04-10,27.2,32.24,27.2,31.72,210232
2026-04-13,31.1,31.94,31.1,31.8,108339
2026-04-14,31.6,31.96,31.6,31.84,59302
2026-04-15,31.7,31.84,31.7,31.72,187547
2026-04-16,31.7,31.82,31.7,31.76,141861
2026-04-17,31.7,32.8,31.7,32.8,88325
2026-04-20,31.7,32.0,31.7,31.8,45147
2026-04-21,31.8,31.84,31.72,31.8,34794
2026-04-22,31.7,31.84,31.7,31.8,59122
2026-04-23,31.7,31.82,31.7,31.78,142828
2026-04-24,31.7,31.78,31.7,31.7,56428
2026-04-27,31.78,31.88,31.72,31.78,16780
2026-04-28,31.68,32.42,31.68,31.76,28035
2026-04-29,32.72,32.72,31.74,31.84,60064
