Date,open,high,low,close,volume
2023-08-29,12.72,13.056,12.434,12.78,1968185
2023-08-30,12.634,12.668,12.226,12.386,2170279
2023-08-31,12.366,13.524,12.148,13.002,18087558
2023-09-01,13.016,13.1,12.766,12.936,1384090
2023-09-04,13.074,13.348,12.986,13.036,975918
2023-09-05,12.976,13.03,12.652,12.71,1221996
2023-09-06,12.544,12.574,11.786,12.004,3492485
2023-09-07,11.806,11.934,11.564,11.71,1811765
2023-09-08,11.696,11.81,11.432,11.774,1523918
2023-09-11,11.666,12.302,11.66,12.26,1718816
2023-09-12,12.3,12.676,12.21,12.654,2143316
2023-09-13,12.6,13.012,12.488,12.802,1584499
2023-09-14,12.8,13.152,12.448,13.152,2750896
2023-09-15,13.3,13.372,13.024,13.094,4213548
2023-09-18,13.024,13.42,12.734,12.734,1823033
2023-09-19,12.602,12.666,12.356,12.356,1290317
2023-09-20,12.618,13.34,12.57,13.236,3146974
2023-09-21,13.048,13.232,12.54,12.646,1778628
2023-09-22,12.586,12.89,12.446,12.848,1664866
2023-09-25,12.774,12.83,12.146,12.482,1978180
2023-09-26,12.3,12.35,11.856,12.0,1920159
2023-09-27,11.968,12.042,11.596,11.628,1526565
2023-09-28,11.456,11.56,11.22,11.518,1590634
2023-09-29,11.698,12.074,11.544,11.77,1406321
2023-10-02,11.798,11.978,11.34,11.42,1135244
2023-10-03,11.25,11.31,10.68,10.854,2216318
2023-10-04,10.7,11.272,10.53,11.204,1697496
2023-10-05,11.134,11.364,11.07,11.1,833692
2023-10-06,11.15,11.27,10.77,11.146,1428865
2023-10-09,11.05,11.362,10.97,11.248,1166218
2023-10-10,11.472,12.17,11.472,12.152,1899018
2023-10-11,12.2,12.58,12.138,12.378,1673121
2023-10-12,12.58,12.894,12.368,12.368,1992585
2023-10-13,12.086,12.36,11.73,11.826,1615660
2023-10-16,11.84,12.3,11.83,12.272,1040877
2023-10-17,12.182,12.27,11.556,11.916,2161916
2023-10-18,12.5,13.024,11.602,11.694,4696726
2023-10-19,11.67,11.888,11.286,11.666,1452952
2023-10-20,11.5,11.616,11.326,11.544,1496074
2023-10-23,11.596,11.624,10.61,11.366,2251116
2023-10-24,11.426,11.626,11.306,11.432,1552120
2023-10-25,11.442,11.446,10.588,10.722,2888598
2023-10-26,10.498,10.698,10.186,10.57,2250163
2023-10-27,10.632,10.82,10.454,10.752,1149382
2023-10-30,10.9,11.102,10.766,10.94,1159412
2023-10-31,10.95,11.568,10.88,11.456,1612390
2023-11-01,11.502,11.6,11.222,11.538,1351143
2023-11-02,11.952,12.782,11.944,12.228,3246335
2023-11-03,12.328,12.81,12.328,12.498,2840156
2023-11-06,12.574,12.91,12.46,12.604,1798050
2023-11-07,12.476,12.898,12.42,12.78,1255187
2023-11-08,12.698,12.978,12.682,12.79,1353399
2023-11-09,12.7,13.196,12.604,13.04,1415984
2023-11-10,12.8,12.8,12.462,12.674,1570312
2023-11-13,12.8,13.278,12.7,13.204,1767964
2023-11-14,13.236,14.426,13.196,14.352,3287638
2023-11-15,14.35,15.054,14.22,14.832,3040768
2023-11-16,14.518,14.89,14.326,14.544,2161376
2023-11-17,14.55,14.924,14.55,14.718,1465825
2023-11-20,14.792,14.84,14.55,14.718,981053
2023-11-21,14.65,14.84,14.162,14.24,1809843
2023-11-22,14.238,14.49,14.212,14.356,701624
2023-11-23,14.356,14.77,14.32,14.674,1651220
2023-11-24,14.732,14.804,14.562,14.77,977674
2023-11-27,14.7,15.042,14.682,14.96,1353843
2023-11-28,14.85,14.854,14.34,14.514,1321848
2023-11-29,14.552,14.938,14.454,14.516,1702611
2023-11-30,14.506,14.642,14.236,14.336,1620270
2023-12-01,14.276,14.484,13.966,14.22,1523624
2023-12-04,14.19,14.772,14.186,14.36,1838114
2023-12-05,14.216,14.38,14.018,14.35,1316336
2023-12-06,14.432,14.85,14.432,14.81,1924895
